iter	Passed	Remaining
0	139	139307
1	140	70046
2	141	46924
3	141	35353
4	142	28417
5	143	23792
6	144	20557
7	146	18161
8	147	16225
9	148	14666
10	149	13416
11	150	12382
12	151	11489
13	152	10719
14	153	10050
15	153	9458
16	154	8938
17	155	8475
18	156	8058
19	157	7699
20	158	7389
21	159	7085
22	160	6805
23	160	6547
24	161	6309
25	162	6089
26	163	5892
27	164	5703
28	165	5526
29	165	5364
30	166	5214
31	167	5069
32	168	4934
33	169	4806
34	169	4684
35	170	4570
36	171	4469
37	172	4374
38	173	4278
39	174	4186
40	175	4098
41	176	4022
42	177	3943
43	177	3867
44	178	3792
45	179	3721
46	180	3653
47	180	3588
48	181	3526
49	182	3467
50	183	3409
51	183	3354
52	184	3303
53	185	3252
54	187	3213
55	187	3166
56	188	3120
57	189	3076
58	190	3041
59	191	3002
60	192	2962
61	193	2924
62	194	2888
63	195	2853
64	195	2818
65	196	2783
66	197	2749
67	198	2716
68	199	2685
69	199	2654
70	200	2623
71	201	2600
72	202	2575
73	203	2549
74	204	2522
75	205	2496
76	206	2469
77	206	2444
78	207	2419
79	208	2395
80	209	2371
81	209	2348
82	210	2321
83	210	2299
84	211	2277
85	212	2256
86	213	2237
87	213	2216
88	214	2196
89	215	2177
90	216	2161
91	217	2143
92	218	2126
93	219	2110
94	219	2093
95	220	2076
96	221	2059
97	221	2043
98	222	2026
99	223	2011
100	224	1996
101	225	1981
102	225	1966
103	226	1951
104	227	1937
105	228	1923
106	228	1909
107	229	1895
108	230	1883
109	231	1875
110	232	1863
111	233	1850
112	234	1838
113	234	1826
114	235	1813
115	236	1801
116	236	1788
117	237	1776
118	238	1766
119	239	1754
120	240	1746
121	241	1734
122	241	1724
123	242	1714
124	243	1704
125	244	1694
126	244	1683
127	246	1676
128	247	1668
129	247	1658
130	248	1649
131	249	1641
132	250	1632
133	251	1623
134	251	1614
135	252	1606
136	253	1597
137	254	1588
138	255	1580
139	255	1571
140	256	1563
141	257	1553
142	257	1545
143	258	1537
144	259	1529
145	260	1523
146	261	1518
147	262	1510
148	263	1503
149	264	1496
150	264	1488
151	265	1481
152	266	1474
153	267	1467
154	267	1460
155	268	1453
156	269	1446
157	270	1439
158	270	1433
159	271	1426
160	272	1418
161	273	1412
162	273	1406
163	274	1400
164	276	1397
165	276	1391
166	277	1386
167	278	1380
168	279	1374
169	280	1371
170	281	1365
171	282	1359
172	283	1354
173	284	1348
174	284	1342
175	285	1336
176	286	1331
177	287	1325
178	288	1321
179	288	1315
180	289	1310
181	290	1306
182	291	1300
183	292	1295
184	292	1290
185	293	1285
186	294	1280
187	295	1275
188	295	1270
189	296	1265
190	297	1260
191	298	1255
192	299	1250
193	299	1245
194	300	1240
195	301	1236
196	302	1231
197	302	1226
198	303	1221
199	304	1217
200	305	1213
201	306	1209
202	306	1204
203	307	1200
204	308	1195
205	309	1191
206	309	1187
207	310	1182
208	311	1178
209	312	1174
210	312	1170
211	313	1165
212	314	1161
213	315	1157
214	315	1153
215	316	1150
216	317	1146
217	318	1142
218	319	1138
219	319	1134
220	320	1130
221	321	1127
222	322	1123
223	323	1119
224	323	1115
225	324	1111
226	325	1108
227	326	1104
228	326	1100
229	327	1097
230	328	1093
231	329	1089
232	330	1086
233	330	1082
234	331	1079
235	332	1075
236	333	1072
237	333	1068
238	334	1065
239	335	1062
240	336	1059
241	337	1055
242	337	1052
243	338	1049
244	339	1045
245	340	1042
246	340	1039
247	341	1036
248	342	1033
249	343	1029
250	344	1027
251	345	1024
252	345	1021
253	346	1018
254	347	1014
255	348	1011
256	348	1008
257	349	1005
258	350	1003
259	351	1000
260	352	997
261	353	994
262	353	991
263	354	988
264	355	985
265	356	983
266	357	980
267	357	977
268	358	974
269	359	971
270	360	969
271	360	966
272	361	963
273	362	960
274	363	957
275	364	954
276	365	953
277	366	950
278	366	948
279	367	945
280	368	942
281	369	939
282	369	937
283	370	934
284	371	931
285	372	929
286	373	927
287	374	925
288	375	923
289	376	920
290	376	918
291	377	915
292	378	913
293	379	911
294	381	910
295	381	908
296	382	905
297	383	903
298	384	901
299	385	899
300	386	897
301	387	895
302	388	893
303	389	890
304	389	888
305	390	886
306	391	883
307	392	881
308	393	878
